Link_ID,Link_Desc
1101, CHELTENHAM ROAD btwn KINGSCLERE AVENUE & CHANDLER ROAD
1134, CHELTENHAM ROAD btwn HAMMOND ROAD & FOSTER STREET
1155, NORTH ROAD btwn NEPEAN HIGHWAY & KOOYONG ROAD
1200, NORTH ROAD btwn BOORAN ROAD & GRANGE ROAD
1232, NORTH ROAD btwn KOORNANG ROAD & EAST BOUNDARY ROAD
1243, NORTH ROAD btwn POATH ROAD & WARRIGAL ROAD
1278, NORTH ROAD btwn HUNTINGDALE ROAD & HAUGHTON ROAD
1348, WARRIGAL ROAD btwn MONASH FREEWAY & MONASH FREEWAY Offramp
1369, WARRIGAL ROAD btwn DANDENONG ROAD & ATHERTON ROAD
1380, WARRIGAL ROAD btwn ATHERTON ROAD & NORTH ROAD
1400, WARRIGAL ROAD btwn OLD DANDENONG ROAD & SOUTH ROAD
1425, HODDLE STREET btwn ALEXANDRA PARADE & EASTERN FREEWAY Onramp
1480, HODDLE STREET btwn JOHNSTON STREET & LANGRIDGE STREET
1490, HODDLE STREET btwn LANGRIDGE STREET & VICTORIA PARADE
1492, HODDLE STREET btwn VICTORIA PARADE & ELIZABETH STREET
1525, PUNT ROAD btwn BRUNTON AVENUE & SWAN STREET
1899, STUD ROAD btwn MONASH FREEWAY & MONASH FREEWAY
1997, STUD ROAD btwn MONASH FREEWAY & MONASH FREEWAY Offramp
2483, FOSTER STREET btwn MCCRAE STREET & LONSDALE STREET
2679, FRANKSTON-DANDENONG ROAD btwn GREENS ROAD & ABBOTTS ROAD
2775, FRANKSTON-DANDENONG ROAD btwn KLAUER STREET & MORNINGTON PENINSULA ROUTE Offramp
2815, DANDENONG ROAD btwn FRANKSTON-DANDENONG ROAD & OVERTON ROAD
3096, WARBURTON HIGHWAY btwn LUSATIA PARK ROAD & GEMBROOK-LAUNCHING PLACE ROAD
3128, MAIN ROAD btwn WARBURTON HIGHWAY & LITTLE YARRA ROAD
3159, WARBURTON HIGHWAY btwn UNNAMED & WOODS POINT ROAD
3392, WHITEHALL STREET btwn SOMERVILLE ROAD & MORELAND STREET
3436, FOOTSCRAY ROAD btwn DOCK LINK ROAD & WESTERN LINK TOLLWAY
3531, WURUNDJERI WAY btwn FLINDERS STREET & MONTAGUE STREET
3596, ST GEORGES ROAD btwn MILLER STREET & NORMANBY AVENUE
3618, ST GEORGES ROAD btwn ARTHURTON ROAD & MERRI PARADE
3693, ALBERT STREET btwn PLENTY ROAD & TYLER STREET
3714, ALBERT STREET btwn WOOD STREET & MURRAY ROAD
3736, ALBERT STREET btwn GOWER STREET & BELL STREET
